iteration,candidate,model_count,average_quality_score,average_overall_score,average_speed_score,average_reliability_score,average_value_score,min_quality_score,min_overall_score,total_runtime_sec
1,current-node-ast-baseline,2,82.44749999999999,73.24455196629214,48.2,73.03370786516854,8.642204138802484,82.37833333333333,72.4354925093633,2216.545877666009
2,coding-cap-512,2,83.44666666666666,74.44234082397003,47.93,75.84269662921348,9.043186055021113,83.26666666666667,73.27579026217228,2279.7151790829957
3,coding-cap-256,2,81.87333333333333,72.70876029962548,47.099999999999994,73.03370786516854,7.935382747552528,80.05,71.85923033707866,2198.104626083019
4,coding-cap-128,2,81.76916666666666,72.75846863295881,47.635,73.03370786516854,8.1806243247423,80.02499999999999,72.03748033707866,2265.892390374007
5,coding-cap-64,2,81.78999999999999,72.6684775280899,47.83,72.47191011235955,8.25594872426505,80.155,71.93208146067417,2180.9991971659765
6,tool-cap-256-coding-128,2,81.005,72.30417696629213,47.465,73.03370786516854,8.015021866288398,79.46,71.65873033707865,2255.12128708401
7,tool-cap-384-coding-128,2,81.78,72.67842696629214,47.205,73.03370786516854,7.996003695307014,80.03333333333335,71.972063670412,2194.8278294169577
8,instruction-cap-384-coding-128,2,81.12583333333333,72.44308473782772,47.125,73.59550561797752,7.995341104465009,78.58666666666666,71.54329588014981,2215.6991691670264
9,instruction-cap-768-coding-128,2,83.08333333333334,74.18595692883896,46.945,76.40449438202248,8.452276601449915,81.625,73.89507584269664,2291.008433208015
10,default-cap-384-coding-128,2,82.79749999999999,73.60295084269663,47.625,74.15730337078651,8.426775480749729,81.35333333333332,73.11696254681648,2449.3293449589983
11,reasonmath-cap-768-coding-128,2,84.45333333333332,74.90845692883894,46.790000000000006,76.40449438202248,8.577310884920557,84.22166666666666,74.18283801498127,2543.595159916993
12,json-cap-768-coding-128,2,83.69083333333333,74.42308192883895,46.46,76.40449438202248,8.260953331838142,82.37666666666667,73.9735936329588,2367.558301206969
13,normalize-tool-args-coding-128,2,83.09333333333333,74.01945692883896,46.085,76.40449438202248,8.171413845877282,82.55166666666666,73.48527247191012,2298.495264625002
14,dedupe-tool-calls-coding-128,2,81.69833333333332,72.58395973782771,46.255,73.59550561797752,7.679569019736615,79.27499999999999,71.45098033707866,2342.382427708013
15,normalize-and-dedupe-coding-128,2,83.305,73.88242415730338,45.519999999999996,75.84269662921348,7.841478248834836,82.95,72.71962359550562,2468.9313148329966
16,retry-malformed-json-coding-128,2,82.23666666666668,72.59514419475656,46.235,72.47191011235955,7.5631001226269365,80.50666666666667,71.82949812734083,2385.3956520000065
17,retry-empty-and-json-coding-128,2,83.12833333333333,73.8292574906367,45.74,75.84269662921349,7.826533132344878,82.05999999999999,73.63942696629213,2522.369330833986
18,single-retry-coding-128,2,84.35333333333334,74.54145692883895,45.230000000000004,76.40449438202248,7.845260956395349,83.105,74.18817696629213,2416.980472333031
19,triple-retry-coding-128,2,82.49916666666667,72.9678675093633,45.269999999999996,74.15730337078651,7.443977770868316,82.11333333333333,72.39897471910113,2483.018042999989
20,broad-quality-caps-coding-128,2,83.92249999999999,74.15815028089888,46.605000000000004,74.71910112359551,8.112060530354071,82.02833333333332,73.29221254681649,2772.676666082989
