"Time","Variant","Mode","ExitCode","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","DraftTokens","AcceptedDraftTokens","AcceptRate","VisionSeen","ThinkingDetected","Note","Log"
"2026-05-20T18:47:26","baseline","text","0","114.35941257381741","18.453071784107134","36","256","214","147","0.686915887850467","","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-baseline-text.response.json"
"2026-05-20T18:47:55","baseline","image","0","138.79241835464026","19.881120220357367","1109","128","97","77","0.793814432989691","True","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-baseline-image.response.json"
"2026-05-20T18:48:22","without-ngl","text","0","112.51969094591553","17.50828275138013","36","256","225","142","0.631111111111111","","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-ngl-text.response.json"
"2026-05-20T18:48:48","without-ngl","image","0","138.55880353161277","20.170519682408862","1109","128","98","78","0.795918367346939","True","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-ngl-image.response.json"
"2026-05-20T18:49:16","without-flash-attn","text","0","109.36099761532269","18.568577382950508","36","256","215","147","0.683720930232558","","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-flash-attn-text.response.json"
"2026-05-20T18:49:44","without-flash-attn","image","0","133.25894544229774","19.083329295519516","1109","128","102","75","0.735294117647059","True","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-flash-attn-image.response.json"
"2026-05-20T18:50:12","without-parallel","text","0","113.30553151310093","17.84478618913926","36","256","226","141","0.623893805309734","","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-parallel-text.response.json"
"2026-05-20T18:50:39","without-parallel","image","0","138.3476130358631","19.589849764217792","1109","128","101","76","0.752475247524752","True","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-parallel-image.response.json"
"2026-05-20T18:51:06","without-reasoning-flags","text","0","113.6065992811227","18.443873132665914","36","256","220","145","0.659090909090909","","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-reasoning-flags-text.response.json"
"2026-05-20T18:51:33","without-reasoning-flags","image","0","134.14401963220104","18.840358284738453","1109","128","102","75","0.735294117647059","True","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-ablation-without-reasoning-flags-image.response.json"
