"Model","LoadGiB","TextGenTPS","ImageGenTPS","ToolGenTPS","HardTS","AgentScoped","AgentBroad"
"Jackrong-Qwopus3.5-9B-Coder-Exp-Q5_K_M","13.21","33.87","33.08","33.68","11/25","55/60","55/60"
"Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","22.99","54.4","N/A","51.12","23/25","60/60","56/60"
"Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","7.51","48.03","N/A","45.02","22/25","60/60","60/60"
"Smoffyy-GPT-OSS-20B-Instruct-Pure","13.74","47.13","N/A","44.78","23/25","53/60","56/60"
"Smoffyy-Qwen3.5-9B-Revised-Q5_K_M","13.21","33.82","33.04","33.26","5/25","55/60","60/60"
"Smoffyy-Qwen3.6-27B-Revised-Q4_K_M","27.38","12.8","12.71","12.82","16/25","55/60","55/60"
"Smoffyy-Qwen3.6-35B-A3B-Revised-Q5_K_M","28.98","65.12","59.22","59.38","23/25","56/60","55/60"
"Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","26.32","46.86","42.96","44.25","23/25","60/60","56/60"
"Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","4.28","85.34","N/A","79.85","19/25","60/60","60/60"
"Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","7.7","46.07","N/A","42.78","18/25","60/60","60/60"
