"Model","KV","LoadGiB","TextTPS","ImageTPS","ToolTPS","HardTS","LRU","Parser","Dijkstra","Topo"
"Unsloth Gemma4 E2B it Q5_K_M","q4/q4","5.01","85.94","75.28","75.31","11/25","0/6","1/7","4/6","6/6"
"Unsloth Gemma4 E4B it Q4_K_M","q4/q4","7.18","52.6","47.88","48.52","17/25","6/6","1/7","4/6","6/6"
"TeichAI Gemma4 26B A4B Opus Distill Q5_K_M","q4/q4","22.93","54.02","49.52","50.86","23/25","6/6","7/7","4/6","6/6"
"Jackrong Qwopus3.6 35B A3B v1 Q5_K_M","q4/q4","27.72","65.59","59.04","58.86","23/25","6/6","7/7","4/6","6/6"
"Unsloth Gemma4 E2B it Q5_K_M","q5_1/q5_1","5.13","86.42","75.08","74.98","13/25","2/6","1/7","4/6","6/6"
"Unsloth Gemma4 E4B it Q4_K_M","q5_1/q5_1","7.53","52.61","48.14","48.41","19/25","6/6","3/7","4/6","6/6"
"TeichAI Gemma4 26B A4B Opus Distill Q5_K_M","q5_1/q5_1","23.4","53.89","49.32","50.17","19/25","6/6","7/7","0/6","6/6"
"Jackrong Qwopus3.6 35B A3B v1 Q5_K_M","q5_1/q5_1","28.16","63.67","58.94","59.41","16/25","6/6","0/7","4/6","6/6"
"Unsloth Gemma4 E2B it Q5_K_M","q4/q8","5.19","87.15","75.36","75.52","14/25","0/6","4/7","4/6","6/6"
"Unsloth Gemma4 E4B it Q4_K_M","q4/q8","7.69","52.44","48","48.22","16/25","6/6","0/7","4/6","6/6"
"TeichAI Gemma4 26B A4B Opus Distill Q5_K_M","q4/q8","23.59","53.59","49.65","50.5","19/25","6/6","3/7","4/6","6/6"
"Jackrong Qwopus3.6 35B A3B v1 Q5_K_M","q4/q8","28.38","64.62","58.9","59.24","20/25","6/6","4/7","4/6","6/6"
